	Autor	Werk	year	vis_id
286	Wieland, Christoph Martin	Aristipp und einige seiner Zeitgenossen	1800	WielandChristophMartin_AristippundeinigeseinerZeitgenossen
284	Wieland, Christoph Martin	Geschichte der Abderiten	1774	WielandChristophMartin_GeschichtederAbderiten
285	Wieland, Christoph Martin	Peregrinus Proteus	1788	WielandChristophMartin_PeregrinusProteus
287	Wilde, Oscar	Das Bildnis des Dorian Gray	1890	WildeOscar_DasBildnisdesDorianGray
288	Wille, Bruno	Glasberg	1920	WilleBruno_Glasberg
289	Willkomm, Ernst Adolf	Die Europamüden	1837	WillkommErnstAdolf_DieEuropamüden
290	Willkomm, Ernst Adolf	Weisse Sclaven oder die Leiden des Volkes	1845	WillkommErnstAdolf_WeisseSclavenoderdieLeidendesVolkes
291	Wobeser, Wilhelmine Karoline von	Elisa	1795	WobeserWilhelmineKarolinevon_Elisa
292	Wolzogen, Caroline von	Agnes von Lilien	1798	WolzogenCarolinevon_AgnesvonLilien
293	Wörishöffer, Sophie	Robert der Schiffsjunge	1877	WörishöfferSophie_RobertderSchiffsjunge
295	Zola, Émile	Germinal	1885	ZolaÉmile_Germinal
294	Zola, Émile	Nana	1880	ZolaÉmile_Nana
296	Zschokke, Heinrich	Das Goldmacherdorf	1817	ZschokkeHeinrich_DasGoldmacherdorf
