	Autor	Werk	year	vis_id
183	Moritz, Karl Philipp	Andreas Hartknopf. Eine Allegorie	1786	MoritzKarlPhilipp_AndreasHartknopf.EineAllegorie
182	Moritz, Karl Philipp	Anton Reiser	1785	MoritzKarlPhilipp_AntonReiser
186	Multatuli	Max Havelaar oder die Kaffee-Versteigerungen	1860	Multatuli_MaxHavelaaroderdieKaffee-Versteigerungen
187	Mundt, Theodor	Madonna. Unterhaltungen mit einer Heiligen	1835	MundtTheodor_Madonna.UnterhaltungenmiteinerHeiligen
188	Musset, Alfred de	Gamiani oder zwei tolle Nächte	1833	MussetAlfredde_GamianioderzweitolleNächte
181	Mörike, Eduard	Maler Nolten	1832	MörikeEduard_MalerNolten
184	Müller, Johann Gottwerth	Siegfried von Lindenberg	1779	MüllerJohannGottwerth_SiegfriedvonLindenberg
185	Müller, Robert	Tropen. Der Mythos der Reise. Urkunden eines deutschen Ingenieurs	1915	MüllerRobert_Tropen.DerMythosderReise.UrkundeneinesdeutschenIngenieurs
191	Naubert, Benedikte	Alf von Dülmen	1790	NaubertBenedikte_AlfvonDülmen
189	Naubert, Benedikte	Die Amtmannin von Hohenweiler	1787	NaubertBenedikte_DieAmtmanninvonHohenweiler
190	Naubert, Benedikte	Herrmann von Unna	1788	NaubertBenedikte_HerrmannvonUnna
192	Novalis	Die Lehrlinge zu Sais	1802	Novalis_DieLehrlingezuSais
193	Novalis	Heinrich von Ofterdingen	1802	Novalis_HeinrichvonOfterdingen
194	Otto, Louise	Schloß und Fabrik	1846	OttoLouise_SchloßundFabrik
195	Paalzow, Henriette von	Godwie-Castle	1838	PaalzowHenriettevon_Godwie-Castle
196	Paalzow, Henriette von	Ste. Roche	1839	PaalzowHenriettevon_Ste.Roche
197	Pichler, Karoline	Agathocles	1828	PichlerKaroline_Agathocles
198	Polenz, Wilhelm von	Der Büttnerbauer	1895	PolenzWilhelmvon_DerBüttnerbauer
202	Raabe, Wilhelm	Abu Telfan oder Die Heimkehr vom Mondgebirge	1867	RaabeWilhelm_AbuTelfanoderDieHeimkehrvomMondgebirge
204	Raabe, Wilhelm	Alte Nester	1879	RaabeWilhelm_AlteNester
200	Raabe, Wilhelm	Der Hungerpastor	1863	RaabeWilhelm_DerHungerpastor
203	Raabe, Wilhelm	Der Schüdderump	1869	RaabeWilhelm_DerSchüdderump
207	Raabe, Wilhelm	Die Akten des Vogelsangs	1896	RaabeWilhelm_DieAktendesVogelsangs
199	Raabe, Wilhelm	Die Chronik der Sperlingsgasse	1857	RaabeWilhelm_DieChronikderSperlingsgasse
201	Raabe, Wilhelm	Die Leute aus dem Walde, ihre Sterne, Wege und Schicksale	1863	RaabeWilhelm_DieLeuteausdemWaldeihreSterneWegeundSchicksale
205	Raabe, Wilhelm	Im alten Eisen	1887	RaabeWilhelm_ImaltenEisen
206	Raabe, Wilhelm	Stopfkuchen. Eine See- und Mordgeschichte	1891	RaabeWilhelm_Stopfkuchen.EineSee-undMordgeschichte
208	Restif de la Bretonne, Nicolas Édmé	Anti-Justine	1793	RestifdelaBretonneNicolasÉdmé_Anti-Justine
212	Reventlow, Franziska Gräfin zu	Der Geldkomplex	1916	ReventlowFranziskaGräfinzu_DerGeldkomplex
213	Reventlow, Franziska Gräfin zu	Der Selbstmordverein	1925	ReventlowFranziskaGräfinzu_DerSelbstmordverein
209	Reventlow, Franziska Gräfin zu	Ellen Olestjerne	1903	ReventlowFranziskaGräfinzu_EllenOlestjerne
211	Reventlow, Franziska Gräfin zu	Herrn Dames Aufzeichnungen	1913	ReventlowFranziskaGräfinzu_HerrnDamesAufzeichnungen
210	Reventlow, Franziska Gräfin zu	Von Paul zu Pedro	1912	ReventlowFranziskaGräfinzu_VonPaulzuPedro
214	Rilke, Rainer Maria	Die Aufzeichnungen des Malte Laurids Brigge	1910	RilkeRainerMaria_DieAufzeichnungendesMalteLauridsBrigge
215	Rosegger, Peter	Die Schriften des Waldschulmeisters	1875	RoseggerPeter_DieSchriftendesWaldschulmeisters
217	Ruppius, Otto	Das Vermächtnis des Pedlars	1859	RuppiusOtto_DasVermächtnisdesPedlars
216	Ruppius, Otto	Der Pedlar	1857	RuppiusOtto_DerPedlar
218	Sade, Marquis de	Die Geschichte der Justine oder die Nachteile der Tugend	1791	SadeMarquisde_DieGeschichtederJustineoderdieNachteilederTugend
220	Scheerbart, Paul	Immer mutig!	1902	ScheerbartPaul_Immermutig!
222	Scheerbart, Paul	Lesabéndio. Ein Asteroiden-Roman	1913	ScheerbartPaul_Lesabéndio.EinAsteroiden-Roman
221	Scheerbart, Paul	Liwûna und Kaidôh. Ein Seelenroman	1902	ScheerbartPaul_LiwûnaundKaidôh.EinSeelenroman
219	Scheerbart, Paul	Tarub, Bagdads berühmte Köchin	1897	ScheerbartPaul_TarubBagdadsberühmteKöchin
